Pipeline_File,Reference_File,Status,Quarter,Excel_Column,Column_Code,Section,Category,Metric,Column_Description,Pipeline_Value,Reference_Value,Difference,Source_File,Source_Value,Pipeline_Correct,Reference_Correct,Verification_Note
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,29,SWEPENFND.ALLTYPES.SWECORP.NETSAVINGPERC.Q,All types of funds,Swedish corporations,Net savings %,All types of funds: Swedish corporations: Net savings %,,25.2165584805698,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,30,SWEPENFND.ALLTYPES.OTHERS.NETSAVINGPERC.Q,All types of funds,Others,Net savings %,All types of funds: Others: Net savings %,,11.8775864766913,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,31,SWEPENFND.ALLTYPES.TOTAL.NETSAVINGPERC.Q,All types of funds,TOTAL,Net savings %,All types of funds: TOTAL: Net savings %,,100.0,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,32,SWEDISHHOUSEHOLDSDIRECTINV.NETASSETS.FLOW.NONE.Q.1@SIFA,All types of funds,Swedish households,Net assets,"All types of funds: Swedish households, direct inv.: Net assets",,537166.82,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,33,ISK.TOTAL.FLOW.NONE.Q.1@SIFA,All types of funds,ISK,Net assets,All types of funds: ISK (Investment Savings Account): Net assets,,708396.05,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,34,IPS.TOTAL.FLOW.NONE.Q.1@SIFA,All types of funds,IPS,Net assets,All types of funds: IPS (Individual Pension Saving): Net assets,,171180.99,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,35,SWEUNITLINKED.TOTAL.FLOW.NONE.Q.1@SIFA,All types of funds,Unit linked,Net assets,All types of funds: Unit linked: Net assets,,1842738.57,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,36,PREMIUMPENSION.TOTAL.FLOW.NONE.Q.1@SIFA,All types of funds,Premium Pension,Net assets,All types of funds: Premium Pension Savings: Net assets,,2540327.76,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,37,NOMINEEACCOUNTS.TOTAL.FLOW.NONE.Q.1@SIFA,All types of funds,Nominee Accounts,Net assets,All types of funds: Nominee Accounts: Net assets,,933778.33,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,38,SWENPISH.TOTAL.FLOW.NONE.Q.1@SIFA,All types of funds,Non profit inst.,Net assets,All types of funds: Non profit institutions serving households: Net assets,,146321.1,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,39,SWECORPORATIONS.TOTAL.FLOW.NONE.Q.1@SIFA,All types of funds,Swedish corporations,Net assets,All types of funds: Swedish corporations: Net assets,,908014.55,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,40,SWEOTHERS.TOTAL.FLOW.NONE.Q.1@SIFA,All types of funds,Others,Net assets,All types of funds: Others: Net assets,,170489.71,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,41,SWEPENFND.ALLTYPES.TOTAL.NETASSET.Q,All types of funds,TOTAL,Net assets,All types of funds: TOTAL: Net assets,,7958413.88,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,42,SWEPENFND.ALLTYPES.SWEHOUSEHOLD.NETASSETPERC.Q,All types of funds,Swedish households,Net assets %,"All types of funds: Swedish households, direct inv.: Net assets %",,6.74967183285019,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,43,SWEPENFND.ALLTYPES.ISK.NETASSETPERC.Q,All types of funds,ISK,Net assets %,All types of funds: ISK (Investment Savings Account): Net assets %,,8.90122153335408,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,44,SWEPENFND.ALLTYPES.IPS.NETASSETPERC.Q,All types of funds,IPS,Net assets %,All types of funds: IPS (Individual Pension Saving): Net assets %,,2.15094354957071,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,45,SWEPENFND.ALLTYPES.UNITLINK.NETASSETPERC.Q,All types of funds,Unit linked,Net assets %,All types of funds: Unit linked: Net assets %,,23.1545958501972,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,46,SWEPENFND.ALLTYPES.PREMPENSSAVING.NETASSETPERC.Q,All types of funds,Premium Pension,Net assets %,All types of funds: Premium Pension Savings: Net assets %,,31.9200257526692,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,47,SWEPENFND.ALLTYPES.NOMINEEACC.NETASSETPERC.Q,All types of funds,Nominee Accounts,Net assets %,All types of funds: Nominee Accounts: Net assets %,,11.7332215197634,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,48,SWEPENFND.ALLTYPES.NONPROFINST.NETASSETPERC.Q,All types of funds,Non profit inst.,Net assets %,All types of funds: Non profit institutions serving households: Net assets %,,1.83857112995486,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,49,SWEPENFND.ALLTYPES.SWECORP.NETASSETPERC.Q,All types of funds,Swedish corporations,Net assets %,All types of funds: Swedish corporations: Net assets %,,11.4094914349943,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,50,SWEPENFND.ALLTYPES.OTHERS.NETASSETPERC.Q,All types of funds,Others,Net assets %,All types of funds: Others: Net assets %,,2.14225739664598,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,51,SWEPENFND.ALLTYPES.TOTAL.NETASSETPERC.Q,All types of funds,TOTAL,Net assets %,All types of funds: TOTAL: Net assets %,,100.0,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,62,SWEPENFND.EQUITYFUND.SWEHOUSEHOLD.NETSAVINGSUM.Q,Equity funds,Swedish households,Net savings sum,"Equity funds: Swedish households, direct inv.: Net savings sum",,-948.490000000002,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,63,SWEPENFND.EQUITYFUND.ISK.NETSAVINGSUM.Q,Equity funds,ISK,Net savings sum,Equity funds: ISK (Investment Savings Account): Net savings sum,,9851.45,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,64,SWEPENFND.EQUITYFUND.IPS.NETSAVINGSUM.Q,Equity funds,IPS,Net savings sum,Equity funds: IPS (Individual Pension Saving): Net savings sum,,-938.16,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,65,SWEPENFND.EQUITYFUND.UNITLINK.NETSAVINGSUM.Q,Equity funds,Unit linked,Net savings sum,Equity funds: Unit linked: Net savings sum,,4432.07,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,66,SWEPENFND.EQUITYFUND.PREMPENSSAVING.NETSAVINGSUM.Q,Equity funds,Premium Pension,Net savings sum,Equity funds: Premium Pension Savings: Net savings sum,,-3407.28,,fund-saving-by-category-2024.xlsx,,,,
