Pipeline_File,Reference_File,Status,Quarter,Excel_Column,Column_Code,Section,Category,Metric,Column_Description,Pipeline_Value,Reference_Value,Difference,Source_File,Source_Value,Pipeline_Correct,Reference_Correct,Verification_Note
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISMATCH_DECIMAL,2024-Q4,12,SWEPENFND.ALLTYPES.SWEHOUSEHOLD.NETSAVINGSUM.Q,All types of funds,Swedish households,Net savings sum,"All types of funds: Swedish households, direct inv.: Net savings sum",-19602.79,-19602.8,0.01,fund-saving-by-category-2024.xlsx,-19602.790000000005,True,False,Pipeline matches source; reference differs
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISMATCH_DECIMAL,2026-Q1,4,IPS.SAVINGS.FLOW.NONE.Q.1@SIFA,All types of funds,IPS,Net savings,All types of funds: IPS (Individual Pension Saving): Net savings,-1728.83321435,-1728.83,-0.003214,fund-saving-by-category-2026.xlsx,-1728.8332143499963,True,False,Pipeline matches source; reference differs
